iter	RMSE
0	600.1416985
1	562.4464254
2	527.3764
3	496.2914119
4	467.9169778
5	443.6513998
6	420.3401905
7	399.5488438
8	380.8452404
9	365.8487039
10	352.0710346
11	338.5313594
12	328.7362704
13	318.136071
14	310.2305907
15	303.5585869
16	296.710092
17	290.0430089
18	283.4398515
19	277.7864047
20	272.2488374
21	267.0915444
22	262.283732
23	258.2407698
24	255.0117685
25	252.4400039
26	249.6189986
27	248.1121298
28	245.6107506
29	243.849924
30	241.237464
31	239.5879691
32	237.5941918
33	235.8716146
34	234.3944668
35	232.9687337
36	231.4906506
37	229.6710523
38	228.6367349
39	227.4901725
40	226.2135673
41	224.8809481
42	223.9042887
43	222.9243079
44	221.8311499
45	221.3014049
46	220.6451632
47	219.7030957
48	219.0606829
49	217.9754064
50	217.0751851
51	216.2660192
52	215.9462916
53	215.4918061
54	215.0441475
55	214.2902726
56	213.5754135
57	213.260573
58	212.6056012
59	211.8819638
60	211.4462165
61	211.1292558
62	210.7289444
63	209.9345938
64	209.5420236
65	208.9540296
66	208.493129
67	208.0665426
68	207.788636
69	207.4101573
70	206.5434219
71	206.1794901
72	205.7296722
73	205.1642096
74	204.752333
75	204.1860595
76	203.8534014
77	203.3514524
78	202.9852147
79	202.6802606
80	202.2406954
81	201.9311983
82	201.5776866
83	201.1724116
84	200.6099017
85	200.0657507
86	199.4405003
87	199.0660379
88	198.7672995
89	198.409117
90	198.0812417
91	197.7942606
92	197.4662595
93	196.979668
94	196.3283717
95	195.6551827
96	195.2337483
97	194.64209
98	194.3373891
99	194.0084282
