iter	Passed	Remaining
0	22	2193
1	44	2172
2	53	1719
3	75	1803
4	96	1828
5	118	1856
6	141	1877
7	162	1867
8	184	1869
9	207	1865
10	228	1845
11	250	1836
12	272	1825
13	294	1811
14	316	1792
15	338	1775
16	360	1760
17	382	1741
18	404	1723
19	426	1706
20	448	1687
21	471	1673
22	494	1656
23	517	1637
24	540	1622
25	562	1600
26	583	1578
27	607	1561
28	627	1537
29	650	1518
30	674	1502
31	697	1483
32	721	1465
33	743	1443
34	765	1421
35	787	1399
36	808	1376
37	831	1356
38	853	1335
39	876	1314
40	898	1292
41	921	1272
42	943	1250
43	968	1232
44	989	1209
45	1015	1191
46	1039	1171
47	1063	1152
48	1089	1134
49	1114	1114
50	1138	1093
51	1162	1072
52	1186	1052
53	1209	1029
54	1234	1009
55	1256	987
56	1278	964
57	1300	941
58	1323	919
59	1354	903
60	1387	887
61	1414	866
62	1437	844
63	1460	821
64	1490	802
65	1516	781
66	1539	758
67	1561	734
68	1583	711
69	1612	690
70	1635	667
71	1659	645
72	1681	622
73	1705	599
74	1728	576
75	1753	553
76	1777	530
77	1800	507
78	1827	485
79	1851	462
80	1873	439
81	1898	416
82	1922	393
83	1945	370
84	1968	347
85	1991	324
86	2015	301
87	2040	278
88	2065	255
89	2091	232
90	2114	209
91	2139	186
92	2167	163
93	2195	140
94	2218	116
95	2243	93
96	2266	70
97	2291	46
98	2315	23
99	2338	0
